"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",3,2,3,3,3,3,1,3,1,1,1,2,3,2,2,2,2
"2",1,1,2,1,3,3,2,3,3,3,2,1,1,2,3,2,3
"3",2,2,3,2,2,1,1,3,2,3,3,1,1,1,2,3,1
"4",1,1,1,3,2,2,2,1,3,3,1,2,3,1,2,3,2
"5",1,2,1,1,2,1,1,2,1,1,2,3,2,3,1,3,3
"6",2,1,2,3,3,1,3,2,1,2,3,3,2,1,3,1,2
"7",2,3,2,1,2,2,3,1,1,1,1,1,1,3,2,1,2
"8",3,3,1,3,1,2,1,2,3,2,2,1,2,3,3,2,1
"9",1,3,3,2,1,1,3,1,2,1,3,2,3,2,3,2,3
"10",3,2,3,2,1,2,2,2,3,2,1,3,1,1,1,1,3
"11",3,3,2,2,3,3,3,1,2,3,2,3,2,2,1,3,1
"12",2,1,1,1,1,3,2,3,2,2,3,2,3,3,1,1,1
